Watching for file changes with StatReloader
Performing system checks...

System check identified no issues (0 silenced).
August 05, 2024 - 09:16:12
Django version 5.0.7, using settings 'transcendence.settings'
Starting ASGI/Channels version 3.0.4 development server at http://0.0.0.0:8000/
HTTP GET /static/login/css/button_style.css 200 [0.02, 172.18.0.13:33006]
HTTP GET /static/login/css/form_style.css 200 [0.02, 172.18.0.13:33012]
HTTP GET /static/login/css/indicator_style.css 200 [0.01, 172.18.0.13:33020]
HTTP GET /static/login/css/input_style.css 200 [0.01, 172.18.0.13:33030]
HTTP GET /static/pongTournament/css/pongTournament.css 200 [0.01, 172.18.0.13:33052]
HTTP GET /static/pongTournament/css/pongTournamentLobby.css 200 [0.01, 172.18.0.13:33064]
HTTP GET /static/pongCustom/css/pongCustom.css 200 [0.01, 172.18.0.13:33074]
HTTP GET /static/pongLocal/css/pongLocal.css 200 [0.01, 172.18.0.13:33078]
HTTP GET /static/css/header.css 200 [0.01, 172.18.0.13:33092]
HTTP GET /static/chat/css/chat.css 200 [0.01, 172.18.0.13:33110]
HTTP GET /static/social/css/social.css 200 [0.01, 172.18.0.13:33120]
HTTP GET /static/menus/css/menu.css 200 [0.01, 172.18.0.13:33136]
HTTP GET /static/chat/css/chat.css 200 [0.00, 172.18.0.13:42496]
HTTP GET /static/social/css/social.css 200 [0.01, 172.18.0.13:42498]
HTTP GET /static/menus/css/menu.css 200 [0.01, 172.18.0.13:42500]
HTTP GET /static/home/img/connect4-img.png 200 [0.01, 172.18.0.13:42504]
HTTP GET /static/home/img/pong-img.png 200 [0.01, 172.18.0.13:42506]
HTTP GET /static/utils/js/notif.js 200 [0.01, 172.18.0.13:42516]
HTTP GET /static/utils/js/websocket.js 200 [0.01, 172.18.0.13:42530]
HTTP GET /static/menus/js/menus.js 200 [0.01, 172.18.0.13:42544]
HTTP GET /static/social/js/social.js 200 [0.01, 172.18.0.13:42560]
HTTP GET /static/home/img/pong-video.mp4 200 [0.02, 172.18.0.13:42588]
HTTP GET /static/home/img/pong-video.mp4 200 [0.02, 172.18.0.13:42598]
HTTP GET /game/game/ 200 [0.31, 172.18.0.13:42602]
HTTP GET /static/css/base.css 200 [0.00, 172.18.0.13:42610]
HTTP GET /static/css/header.css 200 [0.00, 172.18.0.13:42626]
HTTP GET /static/js/notif.js 200 [0.01, 172.18.0.13:42642]
HTTP GET /static/home/img/pong-img.png 200 [0.01, 172.18.0.13:42648]
HTTP GET /static/home/img/connect4-img.png 200 [0.01, 172.18.0.13:42658]
HTTP GET /static/leaderboard/css/leaderboard.css 200 [0.00, 172.18.0.13:42668]
HTTP GET /static/home/css/home.css 200 [0.01, 172.18.0.13:42680]
HTTP GET /static/css/home.css 200 [0.01, 172.18.0.13:42692]
HTTP GET /static/profil/css/profil.css 200 [0.01, 172.18.0.13:42704]
HTTP GET /static/login/css/login.css 200 [0.01, 172.18.0.13:42716]
HTTP GET /static/pongTournament/css/pongTournament.css 200 [0.01, 172.18.0.13:42724]
HTTP GET /static/pongTournament/css/pongTournamentLobby.css 200 [0.01, 172.18.0.13:42738]
HTTP GET /static/pongCustom/css/pongCustom.css 200 [0.01, 172.18.0.13:42748]
HTTP GET /static/pongLocal/css/pongLocal.css 200 [0.01, 172.18.0.13:42756]
HTTP GET /static/profil/css/box-profil.css 200 [0.01, 172.18.0.13:42776]
HTTP GET /static/profil/css/box-skill.css 200 [0.01, 172.18.0.13:42790]
HTTP GET /static/login/css/indicator_style.css 200 [0.01, 172.18.0.13:42812]
HTTP GET /static/login/css/input_style.css 200 [0.01, 172.18.0.13:42816]
HTTP GET /static/chat/css/chat.css 200 [0.01, 172.18.0.13:42852]
HTTP GET /static/utils/js/api.js 200 [0.00, 172.18.0.13:42858]
HTTP GET /static/utils/js/notif.js 200 [0.00, 172.18.0.13:42870]
HTTP GET /static/utils/js/cookie.js 200 [0.01, 172.18.0.13:42884]
HTTP GET /static/menus/js/menus.js 200 [0.01, 172.18.0.13:42898]
HTTP GET /static/social/js/social_websocket.js 200 [0.01, 172.18.0.13:42912]
HTTP GET /static/social/js/social.js 200 [0.01, 172.18.0.13:42924]
HTTP GET /static/chat/js/chat.js 200 [0.01, 172.18.0.13:42938]
HTTP GET /static/home/img/pong-video.mp4 200 [0.01, 172.18.0.13:42950]
HTTP GET /api/@me 301 [0.00, 172.18.0.13:42964]
HTTP GET /api/@me 301 [0.00, 172.18.0.13:42966]
HTTP GET /api/@me/ 200 [0.27, 172.18.0.13:42978]
HTTP GET /api/getHashRoom?roomName=notif_10 301 [0.04, 172.18.0.13:48432]
roomName: 1585352078
HTTP GET /api/getHashRoom/?roomName=notif_10 200 [0.21, 172.18.0.13:48446]
HTTP GET /api/@me/ 200 [0.29, 172.18.0.13:48418]
HTTP GET /game/pong/local 301 [0.03, 172.18.0.13:48450]
HTTP GET /game/pong/local/ 200 [0.25, 172.18.0.13:48460]
HTTP GET /static/home/img/pong-img.png 200 [0.01, 172.18.0.13:48468]
HTTP GET /static/home/img/pong-video.mp4 200 [0.01, 172.18.0.13:48486]
HTTP GET /static/home/img/pong-video.mp4 200 [0.01, 172.18.0.13:48500]
HTTP GET /static/pongLocal/js/dist/bundle.js 404 [0.01, 172.18.0.13:48502]
HTTP GET /game/pong/local/ 200 [0.26, 172.18.0.13:47134]
HTTP GET /static/css/base.css 200 [0.00, 172.18.0.13:47148]
HTTP GET /static/css/footer.css 200 [0.00, 172.18.0.13:47170]
HTTP GET /static/chat/css/chat.css 200 [0.01, 172.18.0.13:47186]
HTTP GET /static/social/css/social.css 200 [0.01, 172.18.0.13:47200]
HTTP GET /static/menus/css/menu.css 200 [0.01, 172.18.0.13:47202]
HTTP GET /static/utils/js/api.js 200 [0.01, 172.18.0.13:47216]
HTTP GET /static/leaderboard/css/leaderboard.css 200 [0.01, 172.18.0.13:47232]
HTTP GET /static/css/home.css 200 [0.01, 172.18.0.13:47250]
HTTP GET /static/profil/css/profil.css 200 [0.01, 172.18.0.13:47258]
HTTP GET /static/progress/css/progress.css 200 [0.01, 172.18.0.13:47270]
HTTP GET /static/login/css/login.css 200 [0.01, 172.18.0.13:47280]
HTTP GET /static/pongTournament/css/pongTournament.css 200 [0.01, 172.18.0.13:47292]
HTTP GET /static/pongTournament/css/pongTournamentLobby.css 200 [0.01, 172.18.0.13:47300]
HTTP GET /static/pongCustom/css/pongCustom.css 200 [0.01, 172.18.0.13:47312]
HTTP GET /static/pongLocal/css/pongLocal.css 200 [0.01, 172.18.0.13:47326]
HTTP GET /static/profil/css/banner.css 200 [0.01, 172.18.0.13:47332]
HTTP GET /static/profil/css/box-profil.css 200 [0.01, 172.18.0.13:47340]
HTTP GET /static/profil/css/responsive.css 200 [0.01, 172.18.0.13:47364]
HTTP GET /static/login/css/button_style.css 200 [0.01, 172.18.0.13:47368]
HTTP GET /static/login/css/responsive_styles.css 200 [0.01, 172.18.0.13:47412]
HTTP GET /static/utils/js/notif.js 200 [0.01, 172.18.0.13:47420]
HTTP GET /static/utils/js/websocket.js 200 [0.01, 172.18.0.13:47434]
HTTP GET /static/menus/js/menus.js 200 [0.01, 172.18.0.13:47444]
HTTP GET /static/social/js/social_websocket.js 200 [0.01, 172.18.0.13:47454]
HTTP GET /static/social/js/social.js 200 [0.01, 172.18.0.13:47464]
HTTP GET /static/chat/js/chat.js 200 [0.01, 172.18.0.13:47478]
HTTP GET /static/pongLocal/js/pongLocal.js 200 [0.01, 172.18.0.13:47484]
HTTP GET /static/home/img/pong-video.mp4 200 [0.01, 172.18.0.13:47494]
HTTP GET /static/pong3D/js/local/pong3D.js 200 [0.01, 172.18.0.13:47502]
HTTP GET /static/pong3D/js/local/class/plateau.js 200 [0.00, 172.18.0.13:47512]
HTTP GET /static/pong3D/js/local/class/ball.js 200 [0.00, 172.18.0.13:47524]
HTTP GET /static/pong3D/js/local/class/games.js 200 [0.01, 172.18.0.13:47530]
HTTP GET /static/pong3D/js/local/class/player.js 200 [0.01, 172.18.0.13:47534]
HTTP GET /api/@me 301 [0.01, 172.18.0.13:47550]
HTTP GET /api/@me 301 [0.01, 172.18.0.13:47564]
HTTP GET /api/@me/ 200 [0.27, 172.18.0.13:47572]
HTTP GET /api/@me/ 200 [0.27, 172.18.0.13:47584]
HTTP GET /api/getHashRoom?roomName=notif_10 301 [0.02, 172.18.0.13:47594]
roomName: 1585352078
HTTP GET /api/getHashRoom/?roomName=notif_10 200 [0.26, 172.18.0.13:47598]
htmx
HTTP GET /en/leaderboard/ 200 [0.77, 172.18.0.13:49916]
HTTP GET /media/profile_pics/png-transparent-love-heart-red-love-love-text-overlay-love-text-heart-thumbnail.png 200 [0.01, 172.18.0.13:49930]
HTTP GET /media/profile_pics/default.png 200 [0.02, 172.18.0.13:49936]
